Itemid,Judgement
001-163111,violation
001-162868,violation
001-162866,violation
001-177120,violation
001-177121,violation
001-140029,violation
001-140231,violation
001-140232,violation
001-140236,violation
001-154162,violation
001-154197,violation
001-154198,violation
001-154155,violation
001-153767,violation
001-153760,violation
001-180837,violation
001-180841,violation
001-180646,violation
001-180647,violation
001-180648,violation
001-180649,violation
001-180502,violation
001-180315,violation
001-148178,violation
001-148175,violation
001-148093,violation
001-147867,violation
001-147868,violation
001-147870,violation
001-159040,violation
001-159041,violation
001-159043,violation
001-158960,violation
001-158947,violation
001-158884,violation
001-158883,violation
001-172360,violation
001-172361,violation
001-172362,violation
001-172314,violation
001-172135,violation
001-171972,violation
001-172070,violation
001-172068,violation
001-172069,violation
001-172071,violation
001-172075,violation
001-144946,violation
001-144922,violation
001-144945,violation
001-116972,violation
001-117128,violation
001-80436,violation
001-191910,violation
001-191913,violation
001-191747,violation
001-191752,violation
001-202458,violation
001-202460,violation
001-202462,violation
001-202440,violation
001-202413,violation
001-202360,violation
001-113134,violation
001-113338,violation
001-113426,violation
001-113428,violation
001-113430,violation
001-112706,violation
001-88518,violation
001-88533,violation
001-88535,violation
001-88387,violation
001-88389,violation
001-88391,violation
001-88395,violation
001-88397,violation
001-88399,violation
001-96391,violation
001-96410,violation
001-96327,violation
001-96387,violation
001-96174,violation
001-96025,violation
001-96095,violation
001-96098,violation
001-96104,violation
001-96225,violation
001-96130,violation
001-96140,violation
001-96143,violation
001-96147,violation
001-96149,violation
001-96164,violation
001-96185,violation
001-96187,violation
001-96210,violation
001-96222,violation
001-96009,violation
001-95999,violation
001-198471,violation
001-198462,violation
001-198463,violation
001-101266,violation
001-101277,violation
001-100711,violation
001-109050,violation
001-108967,violation
001-85555,violation
001-85557,violation
001-85567,violation
001-85569,violation
001-85575,violation
001-85581,violation
001-85532,violation
001-85534,violation
001-85449,violation
001-85467,violation
001-85351,violation
001-85357,violation
001-85361,violation
001-93354,violation
001-93362,violation
001-93366,violation
001-93360,violation
001-93364,violation
001-93222,violation
001-93093,violation
001-186426,violation
001-186122,violation
001-186046,violation
001-77578,violation
001-191274,violation
001-189961,violation
001-189962,violation
001-190027,violation
001-191068,violation
001-189789,violation
001-189790,violation
001-189792,violation
001-189794,violation
001-189795,violation
001-189793,violation
001-189762,violation
001-189741,violation
001-189732,violation
001-189733,violation
001-189735,violation
001-189736,violation
001-116183,violation
001-115886,violation
001-142517,violation
001-142522,violation
001-142400,violation
001-58456,violation
001-60509,violation
001-89011,violation
001-89031,violation
001-89040,violation
001-89050,violation
001-89056,violation
001-89138,violation
001-89150,violation
001-89058,violation
001-89075,violation
001-89077,violation
001-88921,violation
001-112414,violation
001-111690,violation
001-111399,violation
001-111586,violation
001-111657,violation
001-203294,violation
001-203308,violation
001-203291,violation
001-203292,violation
001-203153,violation
001-203176,violation
001-202991,violation
001-103925,violation
001-103776,violation
001-103763,violation
001-57534,violation
001-92491,violation
001-92522,violation
001-92425,violation
001-84580,violation
001-84582,violation
001-84308,violation
001-196377,violation
001-196411,violation
001-196420,violation
001-196484,violation
001-195980,violation
001-196151,violation
001-196178,violation
001-196179,violation
001-196155,violation
001-195993,violation
001-195978,violation
001-195988,violation
001-187466,violation
001-187480,violation
001-187479,violation
001-187478,violation
001-187477,violation
001-187200,violation
001-187362,violation
001-187189,violation
001-187198,violation
001-186767,violation
001-186785,violation
001-186765,violation
001-186771,violation
001-186773,violation
001-76964,violation
001-77052,violation
001-67614,violation
001-178181,violation
001-178180,violation
001-178176,violation
001-177927,violation
001-177929,violation
001-177654,violation
001-177655,violation
001-177667,violation
001-177669,violation
001-177672,violation
001-164658,violation
001-164662,violation
001-164467,violation
001-164454,violation
001-164458,violation
001-164456,violation
001-164195,violation
001-164196,violation
001-164419,violation
001-164200,violation
001-164194,violation
001-181833,violation
001-181834,violation
001-181838,violation
001-155187,violation
001-155101,violation
001-155099,violation
001-155084,violation
001-141933,violation
001-141365,violation
001-58056,violation
001-147012,violation
001-147015,violation
001-146774,violation
001-147011,violation
001-146705,violation
001-122434,violation
001-122184,violation
001-121958,violation
001-121562,violation
001-121777,violation
001-171086,violation
001-171089,violation
001-170654,violation
001-170656,violation
001-170594,violation
001-170461,violation
001-170454,violation
001-158136,violation
001-157964,violation
001-158085,violation
001-158035,violation
001-158036,violation
001-158037,violation
001-158090,violation
001-157757,violation
001-61264,violation
001-168930,violation
001-168847,violation
001-168861,violation
001-168764,violation
001-168700,violation
001-168701,violation
001-168704,violation
001-156504,violation
001-156499,violation
001-156259,violation
001-156254,violation
001-156260,violation
001-105712,violation
001-114096,violation
001-113754,violation
001-113756,violation
001-90738,violation
001-90749,violation
001-90751,violation
001-90759,violation
001-90763,violation
001-90765,violation
001-90812,violation
001-90553,violation
001-90559,violation
001-90647,violation
001-90608,violation
001-90539,violation
001-90575,violation
001-90583,violation
001-90585,violation
001-90446,violation
001-90454,violation
001-90460,violation
001-90470,violation
001-90445,violation
001-187578,violation
001-187599,violation
001-187393,violation
001-82601,violation
001-69261,violation
001-184799,violation
001-184800,violation
001-184801,violation
001-184802,violation
001-184803,violation
001-184804,violation
001-184805,violation
001-184806,violation
001-184653,violation
001-184269,violation
001-184278,violation
001-206508,violation
001-206506,violation
001-206502,violation
001-206524,violation
001-206272,violation
001-200438,violation
001-200552,violation
001-200450,violation
001-200472,violation
001-200209,violation
001-103206,violation
001-111420,violation
001-111520,violation
001-111518,violation
001-111397,violation
001-111263,violation
001-86175,violation
001-86251,violation
001-86266,violation
001-86275,violation
001-86229,violation
001-86109,violation
001-86111,violation
001-86041,violation
001-86043,violation
001-86064,violation
001-86071,violation
001-86073,violation
001-93995,violation
001-93687,violation
001-75976,violation
001-138915,violation
001-138918,violation
001-138921,violation
001-138894,violation
001-138598,violation
001-138564,violation
001-152873,violation
001-152875,violation
001-152883,violation
001-152884,violation
001-152885,violation
001-152886,violation
001-152887,violation
001-152778,violation
001-152624,violation
001-167492,violation
001-167109,violation
001-167121,violation
001-167122,violation
001-167123,violation
001-167124,violation
001-167093,violation
001-167096,violation
001-166932,violation
001-166933,violation
001-166922,violation
001-180273,violation
001-180275,violation
001-180278,violation
001-180290,violation
001-179867,violation
001-179845,violation
001-179847,violation
001-179854,violation
001-179861,violation
001-179885,violation
001-179823,violation
001-193263,violation
001-193258,violation
001-192982,violation
001-192996,violation
001-91588,violation
001-91554,violation
001-91430,violation
001-91477,violation
001-91360,violation
001-91376,violation
001-91391,violation
001-91284,violation
001-91312,violation
001-91321,violation
001-91310,violation
001-91304,violation
001-91317,violation
001-91306,violation
001-83327,violation
001-83329,violation
001-83337,violation
001-83404,violation
001-160089,violation
001-159803,violation
001-173500,violation
001-173470,violation
001-173477,violation
001-173478,violation
001-173248,violation
001-173254,violation
001-173262,violation
001-118383,violation
001-118388,violation
001-145351,violation
001-145353,violation
001-145212,violation
001-145349,violation
001-145346,violation
001-145226,violation
001-145211,violation
001-145014,violation
001-150775,violation
001-150772,violation
001-150675,violation
001-150671,violation
001-150638,violation
001-149201,violation
001-127808,violation
001-128094,violation
001-127617,violation
001-127618,violation
001-127227,violation
001-127124,violation
001-127108,violation
001-127215,violation
001-127228,violation
001-126974,violation
001-84283,violation
001-83822,violation
001-92349,violation
001-92357,violation
001-92219,violation
001-92223,violation
001-92225,violation
001-92167,violation
001-92026,violation
001-91899,violation
001-194315,violation
001-194323,violation
001-194183,violation
001-194237,violation
001-193994,violation
001-194001,violation
001-194003,violation
001-194004,violation
001-179215,violation
001-179211,violation
001-178862,violation
001-178863,violation
001-178865,violation
001-166684,violation
001-166685,violation
001-166488,violation
001-163331,violation
001-174615,violation
001-174626,violation
001-174619,violation
001-174622,violation
001-174625,violation
001-174436,violation
001-174418,violation
001-174405,violation
001-174470,violation
001-174379,violation
001-174390,violation
001-161533,violation
001-161410,violation
001-161372,violation
001-161371,violation
001-161368,violation
001-161327,violation
001-120067,violation
001-120706,violation
001-119952,violation
001-119967,violation
001-119688,violation
001-119704,violation
001-90141,violation
001-90163,violation
001-90171,violation
001-89849,violation
001-89851,violation
001-89858,violation
001-89896,violation
001-89898,violation
001-89901,violation
001-89905,violation
001-89907,violation
001-89909,violation
001-90018,violation
001-90020,violation
001-89881,violation
001-89885,violation
001-114452,violation
001-204718,violation
001-204681,violation
001-106286,violation
001-106240,violation
001-106392,violation
001-106214,violation
001-157527,violation
001-157520,violation
001-170451,violation
001-170361,violation
001-170367,violation
001-170387,violation
001-170134,violation
001-170042,violation
001-170048,violation
001-189146,violation
001-189154,violation
001-189163,violation
001-189164,violation
001-189152,violation
001-188985,violation
001-188361,violation
001-188370,violation
001-188373,violation
001-188388,violation
001-188389,violation
001-188390,violation
001-188360,violation
001-188365,violation
001-79446,violation
001-79442,violation
001-79464,violation
001-79387,violation
001-79303,violation
001-79314,violation
001-79316,violation
001-79318,violation
001-79320,violation
001-79322,violation
001-79324,violation
001-79326,violation
001-79329,violation
001-183540,violation
001-183535,violation
001-183337,violation
001-183339,violation
001-183341,violation
001-183128,violation
001-95054,violation
001-95059,violation
001-95065,violation
001-95067,violation
001-95069,violation
001-95073,violation
001-95075,violation
001-95083,violation
001-95089,violation
001-94867,violation
001-94729,violation
001-87189,violation
001-87242,violation
001-87244,violation
001-87252,violation
001-87076,violation
001-87078,violation
001-87005,violation
001-86889,violation
001-86895,violation
001-86897,violation
001-86899,violation
001-86905,violation
001-86953,violation
001-110709,violation
001-110378,violation
001-110704,violation
001-110699,violation
001-202221,violation
001-201890,violation
001-201737,violation
001-201738,violation
001-201644,violation
001-201526,violation
001-201524,violation
001-189624,violation
001-189412,violation
001-189414,violation
001-189092,violation
001-189094,violation
001-170040,violation
001-169658,violation
001-169663,violation
001-169646,violation
001-169477,violation
001-169478,violation
001-169215,violation
001-157279,violation
001-157342,violation
001-89731,violation
001-89733,violation
001-89737,violation
001-89546,violation
001-89548,violation
001-89552,violation
001-89556,violation
001-89566,violation
001-89568,violation
001-89570,violation
001-89474,violation
001-89500,violation
001-89511,violation
001-89301,violation
001-89338,violation
001-89413,violation
001-89271,violation
001-89273,violation
001-205127,violation
001-205165,violation
001-204991,violation
001-204987,violation
001-204989,violation
001-205054,violation
001-205059,violation
001-204824,violation
001-204825,violation
001-204848,violation
001-115304,violation
001-115380,violation
001-115394,violation
001-115381,violation
001-114936,violation
001-114937,violation
001-114939,violation
001-114940,violation
001-114941,violation
001-114942,violation
001-114943,violation
001-114944,violation
001-114945,violation
001-114946,violation
001-114948,violation
001-114950,violation
001-115212,violation
001-87560,violation
001-87562,violation
001-87581,violation
001-87456,violation
001-87462,violation
001-87483,violation
001-87512,violation
001-87515,violation
001-87418,violation
001-87405,violation
001-87407,violation
001-87426,violation
001-87311,violation
001-87340,violation
001-87342,violation
001-95552,violation
001-95562,violation
001-95571,violation
001-95032,violation
001-95286,violation
001-95374,violation
001-95349,violation
001-201341,violation
001-201090,violation
001-201139,violation
001-201140,violation
001-201142,violation
001-200866,violation
001-200837,violation
001-200719,violation
001-200721,violation
001-101913,violation
001-110200,violation
001-110202,violation
001-110259,violation
001-110273,violation
001-110180,violation
001-182863,violation
001-182597,violation
001-182445,violation
001-182449,violation
001-165950,violation
001-166055,violation
001-166056,violation
001-166065,violation
001-165229,violation
001-164957,violation
001-164911,violation
001-164912,violation
001-164920,violation
001-178500,violation
001-178501,violation
001-178341,violation
001-61560,violation
001-91388,violation
001-91804,violation
001-91728,violation
001-91740,violation
001-91766,violation
001-91639,violation
001-83745,violation
001-195533,violation
001-195534,violation
001-194739,violation
001-194296,violation
001-76137,violation
001-58062,violation
001-126633,violation
001-126798,violation
001-126640,violation
